Date,Open,High,Low,Close,Adj Close,Volume
2019-02-18,0.025904,0.025971,0.025707,0.025907,0.025907,0
2019-02-19,0.025827,0.025934,0.025354,0.025829,0.025829,0
2019-02-20,0.025465,0.025479,0.024647,0.025466,0.025466,0
2019-02-21,0.025211,0.025343,0.025064,0.025212,0.025212,0
2019-02-22,0.025300,0.025565,0.025228,0.025305,0.025305,0
2019-02-25,0.025307,0.025753,0.025301,0.025350,0.025350,0
2019-02-26,0.025631,0.025729,0.025562,0.025630,0.025630,0
2019-02-27,0.025725,0.025843,0.025718,0.025723,0.025723,0
2019-02-28,0.025792,0.025802,0.025555,0.025800,0.025800,0
2019-03-01,0.025559,0.025590,0.025112,0.025561,0.025561,0
2019-03-04,0.025108,0.025119,0.025076,0.025113,0.025113,0
2019-03-05,0.025112,0.025141,0.025101,0.025112,0.025112,0
2019-03-06,0.025110,0.025115,0.024581,0.025107,0.025107,0
2019-03-07,0.024559,0.024618,0.023966,0.024559,0.024559,0
2019-03-08,0.023568,0.024497,0.023563,0.023569,0.023569,0
2019-03-11,0.024265,0.024741,0.024245,0.024264,0.024264,0
2019-03-12,0.024242,0.024361,0.024068,0.024242,0.024242,0
2019-03-13,0.024104,0.024144,0.023932,0.024104,0.024104,0
2019-03-14,0.024249,0.024528,0.024170,0.024246,0.024246,0
2019-03-15,0.024550,0.025113,0.024541,0.024547,0.024547,0
2019-03-18,0.024989,0.025281,0.024989,0.024990,0.024990,0
2019-03-19,0.024981,0.025143,0.024710,0.024979,0.024979,0
2019-03-20,0.024677,0.024691,0.024214,0.024682,0.024682,0
2019-03-21,0.024479,0.024731,0.024443,0.024480,0.024480,0
2019-03-22,0.024380,0.024470,0.023698,0.024381,0.024381,0
2019-03-25,0.024383,0.024422,0.023888,0.024419,0.024419,0
2019-03-26,0.023791,0.023933,0.023555,0.023795,0.023795,0
2019-03-27,0.023463,0.023468,0.022762,0.023463,0.023463,0
2019-03-28,0.022795,0.023151,0.022789,0.022795,0.022795,0
2019-03-29,0.022928,0.023211,0.022921,0.022926,0.022926,0
2019-04-01,0.023058,0.023412,0.022945,0.023058,0.023058,0
2019-04-02,0.023413,0.023453,0.023401,0.023414,0.023414,0
2019-04-03,0.023417,0.023578,0.023405,0.023414,0.023414,0
2019-04-04,0.023342,0.023348,0.023080,0.023343,0.023343,0
2019-04-05,0.023041,0.023049,0.022885,0.023041,0.023041,0
2019-04-08,0.022755,0.022915,0.022619,0.022758,0.022758,0
2019-04-09,0.022836,0.023002,0.022774,0.022871,0.022871,0
2019-04-10,0.023046,0.023304,0.023021,0.023044,0.023044,0
2019-04-11,0.023261,0.023343,0.023100,0.023265,0.023265,0
2019-04-12,0.023414,0.023759,0.023407,0.023414,0.023414,0
2019-04-15,0.023724,0.024161,0.023712,0.023728,0.023728,0
2019-04-16,0.024030,0.024158,0.023554,0.024030,0.024030,0
2019-04-17,0.023628,0.024187,0.023611,0.023628,0.023628,0
2019-04-18,0.024021,0.024029,0.023901,0.024024,0.024024,0
2019-04-19,0.024023,0.024050,0.023899,0.023897,0.023897,0
2019-04-22,0.024041,0.024074,0.023384,0.024041,0.024041,0
2019-04-23,0.024071,0.024071,0.023435,0.024073,0.024073,0
2019-04-24,0.023588,0.023597,0.022745,0.023589,0.023589,0
2019-04-25,0.022771,0.022775,0.021519,0.022768,0.022768,0
2019-04-26,0.022200,0.022660,0.022181,0.022198,0.022198,0
2019-04-29,0.021795,0.022458,0.021787,0.022226,0.022226,0
2019-04-30,0.022554,0.023032,0.022547,0.022556,0.022556,0
2019-05-01,0.022562,0.022658,0.022558,0.022548,0.022548,0
2019-05-02,0.022535,0.022613,0.022263,0.022565,0.022565,0
2019-05-03,0.022344,0.022612,0.022337,0.022340,0.022340,0
